,image_name,resized_size,patch_size,kernel_dim,Avg_ref_h,Avg_ref_z,mean_box_size,std_size,diff_patch_mbs,aspect_ratio,mre,qual_score,mae,score
292,Image_313,384,24,3,83,125,104,10.78,80,1.51,0.65,0.7,42.0,0.3
293,Image_293,384,24,3,45,72,58,6.54,34,1.6,0.48,0.58,38.0,0.4
294,Image_291,384,24,3,54,99,76,11.11,52,1.83,0.4,0.51,4.0,0.6
295,Image_286,384,24,3,53,87,70,13.14,46,1.64,0.52,0.67,11.0,0.7
296,Image_2,384,24,3,50,82,66,1.94,42,1.64,0.2,0.59,2.0,0.3
297,Image_7645,384,32,3,43,145,94,5.91,62,3.37,0.3,0.71,6.0,0.3
298,Image_7095,384,32,3,35,116,76,3.4,44,3.31,0.0,0.44,0.0,0.25
299,Image_7661,384,32,3,30,41,36,3.7,4,1.37,0.18,0.41,8.0,0.3
300,Image_7662,384,32,3,47,35,41,3.97,9,1.34,0.09,0.39,4.0,0.2
301,Image_6661,384,32,3,11,12,12,0.71,20,1.09,0.0,0.7,1.0,0.35
302,Image_6660,384,32,3,279,30,154,2.16,122,9.3,0.11,0.97,1.0,0.4
303,Image_6659,384,32,3,40,323,182,2.49,150,8.07,1.25,1.11,5.0,0.6
304,Image_6658,384,32,3,15,9,12,1.7,20,1.67,0.18,0.66,79.0,0.2
305,Image_6657,384,32,3,25,25,25,7.83,7,1.0,0.37,0.41,33.0,0.4
306,Image_6656,384,32,3,29,30,30,2.13,2,1.03,0.09,0.33,8.0,0.1
307,Image_6655,384,32,3,9,73,41,1.47,9,8.11,0.7,0.47,99.0,0.7
308,Image_6653,384,32,3,17,21,19,1.48,13,1.24,0.22,0.57,89.0,0.2
309,Image_6652,384,32,3,41,79,60,1.73,28,1.93,0.21,0.41,9.0,0.2
310,Image_6651,384,32,3,40,151,96,5.4,64,3.77,0.9,0.79,9.0,0.7
311,Image_6650,384,32,3,75,90,82,4.31,50,1.2,0.82,0.34,9.0,0.5
312,Image_6649,384,32,3,17,46,32,18.54,0,2.71,0.08,0.37,8.0,0.25
313,Image_6648,384,32,3,20,19,20,1.09,12,1.05,0.11,0.66,6.0,0.4
314,Image_6645,384,32,3,34,32,33,2.78,1,1.06,0.12,0.41,5.0,0.0
315,Image_6644,384,32,3,6,12,9,0.71,23,2.0,0.03,0.78,13.0,0.15
316,Image_5944,384,32,3,40,57,48,2.85,16,1.43,0.25,0.32,3.0,0.4
317,Image_5940,384,32,3,78,79,78,13.21,46,1.01,0.42,0.34,8.0,0.6
318,Image_5939,384,32,3,83,133,108,18.67,76,1.6,1.0,0.57,4.0,0.5
319,Image_5938,384,32,3,57,88,72,6.97,40,1.54,0.14,0.48,5.0,0.4
320,Image_5936,384,32,3,54,69,62,2.19,30,1.28,0.1,0.3,2.0,0.25
321,Image_5934,384,32,3,61,84,72,7.26,40,1.38,0.39,0.54,11.0,0.35
322,Image_5933,384,32,3,79,44,62,6.98,30,1.8,0.33,0.55,6.0,0.4
323,Image_5932,384,32,3,99,64,82,4.21,50,1.55,0.05,0.39,1.0,0.15
324,Image_5931,384,32,3,86,137,112,8.67,80,1.59,3.5,0.95,7.0,0.9
325,Image_5930,384,32,3,65,71,68,2.72,36,1.09,0.33,0.58,7.0,0.6
326,Image_5929,384,32,3,32,57,44,3.11,12,1.78,0.15,0.3,10.0,0.1
327,Image_5926,384,32,3,42,73,58,1.05,26,1.74,0.17,0.47,2.0,0.4
328,Image_5925,384,32,3,138,98,118,19.77,86,1.41,0.05,0.5,1.0,0.25
329,Image_5924,384,32,3,101,103,102,6.4,70,1.02,1.0,0.41,8.0,0.5
330,Image_5923,384,32,3,81,68,74,3.3,42,1.19,0.41,0.57,9.0,0.6
331,Image_5922,384,32,3,26,36,31,0.94,1,1.38,0.31,0.6,16.0,0.7
332,Image_5921,384,32,3,51,76,64,1.82,32,1.49,0.0,0.37,0.0,0.3
333,Image_5918,384,32,3,72,53,62,3.25,30,1.36,0.0,0.46,0.0,0.35
334,Image_5917,384,32,3,53,74,64,1.57,32,1.4,0.25,0.56,4.0,0.3
335,Image_5915,384,32,3,49,56,52,2.87,20,1.14,0.2,0.41,3.0,0.4
336,Image_5602,384,32,3,54,74,64,1.57,32,1.37,0.19,0.44,5.0,0.6
337,Image_5601,384,32,3,54,74,64,1.67,32,1.37,0.24,0.53,7.0,0.6
338,Image_5600,384,32,3,21,24,22,1.05,10,1.14,0.1,0.46,17.0,0.2
339,Image_5598,384,32,3,58,79,68,1.71,36,1.36,0.28,0.5,9.0,0.4
340,Image_5596,384,32,3,35,49,42,4.73,10,1.4,0.08,0.4,3.0,0.2
341,Image_5595,384,32,3,69,92,80,4.59,48,1.33,0.88,0.47,7.0,0.5
342,Image_5594,384,32,3,60,77,68,2.89,36,1.28,0.38,0.65,9.0,0.7
343,Image_5593,384,32,3,49,65,57,3.83,25,1.33,0.28,0.52,9.0,0.65
344,Image_5592,384,32,3,37,21,29,1.18,3,1.76,0.13,0.42,14.0,0.15
345,Image_5591,384,32,3,65,47,56,2.98,24,1.38,0.16,0.41,6.0,0.3
346,Image_5590,384,32,3,74,102,88,7.77,56,1.38,0.06,0.33,1.0,0.5
347,Image_5588,384,32,3,36,42,39,2.51,7,1.17,0.0,0.37,0.0,0.3
348,Image_5587,384,32,3,57,72,64,2.1,32,1.26,0.3,0.53,7.0,0.4
349,Image_5585,384,32,3,44,59,52,3.3,20,1.34,0.22,0.44,8.0,0.3
350,Image_5584,384,32,3,37,27,32,3.11,0,1.37,0.22,0.44,14.0,0.25
351,Image_5583,384,32,3,52,68,60,2.11,28,1.31,0.08,0.36,1.0,0.4
352,Image_5582,384,32,3,37,38,38,2.05,6,1.03,0.57,0.22,17.0,0.35
353,Image_5581,384,32,3,72,101,86,4.3,54,1.4,0.6,0.58,3.0,0.5
354,Image_5580,384,32,3,42,48,45,1.94,13,1.14,0.09,0.51,4.0,0.2
355,Image_5576,384,32,3,44,48,46,4.38,14,1.09,0.08,0.54,6.0,0.35
356,Image_5575,384,32,3,69,73,71,3.01,39,1.06,0.71,0.41,5.0,0.5
357,Image_5574,384,32,3,20,21,20,1.09,12,1.05,0.26,0.52,32.0,0.3
358,Image_5573,384,32,3,42,43,42,2.25,10,1.02,0.0,0.28,0.0,0.0
359,Image_5572,384,32,3,60,96,78,7.49,46,1.6,8.0,0.69,8.0,0.4
360,Image_5571,384,32,3,51,65,58,1.59,26,1.27,0.05,0.4,1.0,0.35
361,Image_5568,384,32,3,38,49,44,9.86,12,1.29,0.07,0.37,2.0,0.2
362,Image_5567,384,32,3,45,41,43,6.13,11,1.1,0.04,0.38,2.0,0.3
363,Image_5566,384,32,3,60,74,67,9.57,35,1.23,0.27,0.26,7.0,0.4
364,Image_5563,384,32,3,17,12,14,2.03,18,1.42,0.23,0.68,55.0,0.4
365,Image_5390,384,32,3,84,53,68,10.3,36,1.58,0.75,0.33,6.0,0.6
366,Image_5386,384,32,3,51,77,64,1.97,32,1.51,0.17,0.36,2.0,0.55
367,Image_5382,384,32,3,48,65,56,2.34,24,1.35,0.12,0.5,1.0,0.6
368,Image_5380,384,32,3,94,76,85,6.04,53,1.24,3.5,0.44,7.0,0.5
369,Image_5378,384,32,3,76,73,74,2.42,42,1.04,0.83,0.55,5.0,0.5
370,Image_5376,384,32,3,100,77,88,6.25,56,1.3,3.33,0.64,10.0,0.7
371,Image_5375,384,32,3,100,79,90,7.9,58,1.27,0.05,0.41,1.0,0.4
372,Image_5372,384,32,3,57,47,52,5.72,20,1.21,0.11,0.41,3.0,0.35
373,Image_5371,384,32,3,53,52,52,3.28,20,1.02,0.1,0.3,4.0,0.1
374,Image_5369,384,32,3,42,50,46,5.72,14,1.19,0.37,0.35,7.0,0.5
375,Image_5368,384,32,3,26,24,25,1.72,7,1.08,0.01,0.47,1.0,0.15
376,Image_5367,384,32,3,19,31,25,0.47,7,1.63,0.09,0.45,14.0,0.1
377,Image_5366,384,32,3,26,37,32,1.56,0,1.42,0.11,0.42,7.0,0.3
378,Image_5364,384,32,3,49,56,52,2.57,20,1.14,0.21,0.4,6.0,0.4
379,Image_5363,384,32,3,31,40,36,3.71,4,1.29,0.17,0.33,5.0,0.3
380,Image_5361,384,32,3,29,43,36,4.15,4,1.48,0.29,0.36,6.0,0.35
381,Image_5360,384,32,3,29,40,34,2.55,2,1.38,0.11,0.37,8.0,0.25
382,Image_5359,384,32,3,17,24,20,0.64,12,1.41,0.21,0.51,9.0,0.0
383,Image_5358,384,32,3,55,73,64,3.13,32,1.33,0.22,0.45,7.0,0.1
384,Image_5149,384,32,3,25,32,28,2.16,4,1.28,0.12,0.51,12.0,0.5
385,Image_5143,384,32,3,23,45,34,8.85,2,1.96,0.2,0.59,16.0,0.4
386,Image_5142,384,32,3,22,29,26,3.27,6,1.32,0.04,0.52,8.0,0.3
387,Image_4970,384,32,3,35,46,40,1.87,8,1.31,0.22,0.42,8.0,0.55
388,Image_4969,384,32,3,38,28,33,5.18,1,1.36,0.13,0.41,17.0,0.3
389,Image_4967,384,32,3,65,99,82,3.4,50,1.52,0.21,0.58,5.0,0.6
390,Image_4966,384,32,3,60,83,72,6.22,40,1.38,0.92,0.26,22.0,0.5
391,Image_4965,384,32,3,75,120,98,17.03,66,1.6,1.5,0.55,9.0,0.65
392,Image_4964,384,32,3,41,55,48,8.38,16,1.34,0.12,0.32,7.0,0.25
393,Image_4963,384,32,3,19,31,25,2.49,7,1.63,0.17,0.51,45.0,0.2
394,Image_4962,384,32,3,37,41,39,5.26,7,1.11,0.27,0.44,11.0,0.2
395,Image_4961,384,32,3,10,17,14,1.97,18,1.7,0.19,0.67,85.0,0.3
396,Image_4960,384,32,3,59,84,72,19.51,40,1.42,0.32,0.36,7.0,0.4
397,Image_4959,384,32,3,38,62,50,1.65,18,1.63,0.15,0.37,4.0,0.35
398,Image_4958,384,32,3,44,60,52,11.44,20,1.36,0.17,0.43,24.0,0.3
399,Image_4957,384,32,3,26,35,30,9.81,2,1.35,0.01,0.42,1.0,0.25
400,Image_4956,384,32,3,27,45,36,7.56,4,1.67,0.06,0.48,6.0,0.2
401,Image_4955,384,32,3,35,46,40,9.02,8,1.31,0.02,0.34,3.0,0.1
402,Image_4954,384,32,3,43,66,54,9.37,22,1.53,0.61,0.46,11.0,0.6
403,Image_4953,384,32,3,30,52,41,7.53,9,1.73,0.09,0.41,5.0,0.2
404,Image_4952,384,32,3,19,23,21,3.12,11,1.21,0.13,0.5,36.0,0.15
405,Image_4951,384,32,3,22,19,20,3.11,12,1.16,0.2,0.63,42.0,0.2
406,Image_4950,384,32,3,41,54,48,11.93,16,1.32,0.08,0.43,3.0,0.2
407,Image_4949,384,32,3,24,35,30,3.76,2,1.46,0.1,0.51,10.0,0.3
408,Image_4948,384,32,3,81,140,110,17.37,78,1.73,8.0,0.66,16.0,0.8
409,Image_4947,384,32,3,20,35,28,3.65,4,1.75,0.22,0.48,57.0,0.2
410,Image_4946,384,32,3,40,56,48,12.03,16,1.4,0.06,0.36,4.0,0.25
411,Image_4945,384,32,3,33,44,38,1.26,6,1.33,0.05,0.4,2.0,0.25
412,Image_4944,384,32,3,24,32,28,4.51,4,1.33,0.21,0.52,13.0,0.2
413,Image_4943,384,32,3,42,64,53,2.46,21,1.52,0.1,0.43,7.0,0.3
414,Image_4942,384,32,3,49,78,64,2.21,32,1.59,0.17,0.38,8.0,0.25
415,Image_4941,384,32,3,31,42,36,3.71,4,1.35,0.07,0.34,13.0,0.1
416,Image_4940,384,32,3,53,98,76,5.22,44,1.85,0.07,0.36,2.0,0.2
417,Image_4939,384,32,3,70,95,82,16.33,50,1.36,0.54,0.42,7.0,0.35
418,Image_4938,384,32,3,26,51,38,9.32,6,1.96,0.14,0.42,7.0,0.2
419,Image_4933,384,32,3,77,59,68,8.67,36,1.31,0.12,0.39,6.0,0.3
420,Image_4924,384,32,3,36,59,48,4.56,16,1.64,0.02,0.46,1.0,0.1
421,Image_4923,384,32,3,39,59,49,4.47,17,1.51,0.29,0.39,7.0,0.3
422,Image_4908,384,32,3,42,74,58,7.45,26,1.76,0.6,0.31,9.0,0.25
423,Image_4904,384,32,3,60,86,73,9.72,41,1.43,10.0,0.29,10.0,0.4
424,Image_4903,384,32,3,56,73,64,3.09,32,1.3,0.0,0.39,0.0,0.2
425,Image_4885,384,32,3,51,41,46,6.71,14,1.24,0.08,0.76,1.0,0.3
426,Image_4875,384,32,3,57,74,66,4.85,34,1.3,0.13,0.54,6.0,0.4
427,Image_4874,384,32,3,43,66,54,5.17,22,1.53,0.06,0.41,4.0,0.15
428,Image_4502,384,32,3,23,312,168,3.28,136,13.57,0.75,0.59,9.0,0.9
429,Image_4501,384,32,3,20,321,170,5.21,138,16.05,0.64,0.69,7.0,0.9
430,Image_4500,384,32,3,44,351,198,8.12,166,7.98,1.0,0.86,4.0,1.0
431,Image_4497,384,32,3,24,301,162,11.72,130,12.54,0.56,0.91,5.0,0.9
432,Image_4496,384,32,3,27,337,182,10.04,150,12.48,0.63,0.84,21.0,0.9
433,Image_4494,384,32,3,14,285,150,11.98,118,20.36,0.24,0.64,8.0,0.9
434,Image_4493,384,32,3,19,308,164,2.21,132,16.21,2.6,0.92,13.0,1.0
435,Image_4409,384,32,3,48,80,64,13.0,32,1.67,0.1,0.73,1.0,0.9
436,Image_4407,384,32,3,20,39,30,18.12,2,1.95,0.25,0.37,14.0,0.3
437,Image_4406,384,32,3,13,27,20,11.5,12,2.08,0.0,0.47,0.0,0.1
438,Image_4296,384,32,3,59,67,63,3.89,31,1.14,0.03,0.31,1.0,0.2
439,Image_4286,384,32,3,17,27,22,4.13,10,1.59,0.26,0.52,120.0,0.15
440,Image_4175,384,32,3,78,126,102,4.58,70,1.62,0.62,0.69,8.0,0.4
441,Image_4170,384,32,3,29,119,74,5.58,42,4.1,0.26,0.47,7.0,0.6
442,Image_4123,384,32,3,69,61,65,10.97,33,1.13,0.86,0.36,6.0,0.8
443,Image_4122,384,32,3,68,111,90,16.9,58,1.63,0.09,0.55,1.0,0.9
444,Image_4121,384,32,3,69,108,88,7.0,56,1.57,0.09,0.65,1.0,0.4
445,Image_4120,384,32,3,43,56,50,3.53,18,1.3,0.31,0.33,11.0,0.3
446,Image_4119,384,32,3,78,112,95,2.49,63,1.44,5.0,0.41,10.0,0.6
447,Image_4116,384,32,3,59,80,70,4.25,38,1.36,0.53,0.65,17.0,0.5
448,Image_4115,384,32,3,39,72,56,4.39,24,1.85,1.0,0.61,4.0,0.5
449,Image_4113,384,32,3,40,57,48,4.57,16,1.43,0.03,0.55,1.0,0.4
450,Image_4111,384,32,3,35,42,38,2.94,6,1.2,0.04,0.46,1.0,0.3
451,Image_4110,384,32,3,132,52,92,17.65,60,2.54,2.0,0.37,8.0,0.5
452,Image_4089,384,32,3,31,60,46,1.33,14,1.94,0.24,0.43,19.0,0.3
453,Image_4088,384,32,3,46,59,52,4.74,20,1.28,0.04,0.39,1.0,0.2
454,Image_4087,384,32,3,40,31,36,0.71,4,1.29,0.11,0.45,14.0,0.15
455,Image_4086,384,32,3,53,75,64,2.4,32,1.42,0.08,0.35,1.0,0.2
456,Image_4085,384,32,3,26,36,31,1.44,1,1.38,0.07,0.43,6.0,0.15
457,Image_4084,384,32,3,44,57,50,6.06,18,1.3,0.08,0.51,1.0,0.2
458,Image_4083,384,32,3,54,54,54,1.32,22,1.0,0.71,0.27,39.0,0.4
459,Image_4082,384,32,3,28,22,25,1.78,7,1.27,0.13,0.49,16.0,0.25
460,Image_4079,384,32,3,44,61,52,3.18,20,1.39,0.14,0.25,3.0,0.2
461,Image_4078,384,32,3,32,52,42,3.92,10,1.62,0.07,0.38,4.0,0.4
462,Image_4077,384,32,3,17,34,26,4.73,6,2.0,0.07,0.41,16.0,0.15
463,Image_4074,384,32,3,48,62,55,2.63,23,1.29,0.15,0.3,3.0,0.2
464,Image_4073,384,32,3,65,60,62,5.03,30,1.08,0.07,0.33,2.0,0.2
465,Image_4072,384,32,3,65,86,76,4.11,44,1.32,0.21,0.46,3.0,0.4
466,Image_4069,384,32,3,35,26,30,2.89,2,1.35,0.02,0.36,3.0,0.1
467,Image_4068,384,32,3,71,99,85,4.99,53,1.39,1.5,0.54,6.0,0.6
468,Image_4067,384,32,3,38,52,45,2.07,13,1.37,0.17,0.32,6.0,0.25
469,Image_4066,384,32,3,72,98,85,4.13,53,1.36,0.0,0.44,0.0,0.4
470,Image_4065,384,32,3,51,40,46,4.7,14,1.27,0.03,0.45,1.0,0.2
471,Image_4063,384,32,3,57,57,57,3.93,25,1.0,0.57,0.32,4.0,0.2
472,Image_4062,384,32,3,15,25,20,4.78,12,1.67,0.21,0.53,74.0,0.2
473,Image_3697,384,32,3,149,108,128,8.06,96,1.38,0.1,0.81,1.0,0.3
474,Image_3696,384,32,3,146,126,136,6.6,104,1.16,0.6,0.79,3.0,0.35
475,Image_3694,384,32,3,57,86,72,4.52,40,1.51,0.42,0.38,10.0,0.3
476,Image_3693,384,32,3,44,54,49,2.17,17,1.23,0.0,0.29,0.0,0.1
477,Image_3651,384,32,3,89,114,102,8.77,70,1.28,1.75,0.75,7.0,0.3
478,Image_3650,384,32,3,47,81,64,9.85,32,1.72,0.56,0.64,5.0,0.15
479,Image_3645,384,32,3,45,49,47,8.12,15,1.09,0.05,0.53,3.0,0.15
480,Image_3644,384,32,3,63,61,62,17.41,30,1.03,0.18,0.53,2.0,0.2
481,Image_3501,384,32,3,30,41,36,6.66,4,1.37,0.05,0.4,3.0,0.1
482,Image_3500,384,32,3,51,70,60,4.19,28,1.37,0.0,0.4,0.0,0.05
483,Image_3494,384,32,3,85,53,69,4.23,37,1.6,0.76,0.42,16.0,0.3
484,Image_3342,384,32,3,72,112,92,3.12,60,1.56,0.0,0.48,0.0,0.1
485,Image_3341,384,32,3,52,57,54,2.28,22,1.1,0.12,0.22,4.0,0.05
486,Image_3339,384,32,3,67,94,80,5.02,48,1.4,2.12,0.2,17.0,0.4
487,Image_3329,384,32,3,15,10,12,2.06,20,1.5,0.41,0.72,123.0,0.7
488,Image_3310,384,32,3,40,50,45,1.94,13,1.25,0.11,0.25,3.0,0.1
489,Image_3309,384,32,3,49,80,64,4.99,32,1.63,0.78,0.22,7.0,0.5
490,Image_3284,384,32,3,80,92,86,18.34,54,1.15,0.14,0.4,2.0,0.4
491,Image_3283,384,32,3,31,32,32,9.74,0,1.03,0.1,0.41,4.0,0.25
492,Image_3282,384,32,3,57,63,60,10.84,28,1.11,0.15,0.33,4.0,0.3
493,Image_3281,384,32,3,90,57,74,14.73,42,1.58,2.0,0.28,10.0,0.35
494,Image_3279,384,32,3,44,59,52,7.88,20,1.34,0.04,0.38,1.0,0.4
495,Image_3278,384,32,3,55,41,48,4.52,16,1.34,0.52,0.61,33.0,0.4
496,Image_3275,384,32,3,80,72,76,5.56,44,1.11,0.37,0.49,7.0,0.4
497,Image_3271,384,32,3,96,102,99,12.29,67,1.06,0.52,0.64,23.0,0.5
498,Image_3270,384,32,3,68,80,74,7.03,42,1.18,0.19,0.37,4.0,0.4
499,Image_3268,384,32,3,68,77,72,11.06,40,1.13,0.36,0.46,5.0,0.4
500,Image_3160,384,32,3,89,93,91,7.13,59,1.04,1.6,0.56,8.0,0.6
501,Image_2956,384,32,3,81,46,64,12.53,32,1.76,0.32,0.55,6.0,0.6
502,Image_2955,384,32,3,39,31,35,3.12,3,1.26,0.3,0.36,24.0,0.3
503,Image_2954,384,32,3,47,78,62,0.88,30,1.66,0.16,0.48,7.0,0.3
504,Image_2952,384,32,3,28,59,44,3.1,12,2.11,0.49,0.28,22.0,0.3
505,Image_2951,384,32,3,39,68,54,1.05,22,1.74,1.0,0.22,7.0,0.25
506,Image_2949,384,32,3,87,37,62,2.86,30,2.35,0.04,0.44,1.0,0.2
507,Image_2948,384,32,3,80,78,79,3.24,47,1.03,1.75,0.37,7.0,0.7
508,Image_2947,384,32,3,51,60,56,1.97,24,1.18,0.2,0.38,9.0,0.2
509,Image_2946,384,32,3,72,63,68,12.06,36,1.14,0.5,0.4,4.0,0.3
510,Image_2945,384,32,3,75,52,64,1.33,32,1.44,0.0,0.48,0.0,0.1
511,Image_2944,384,32,3,37,59,48,7.86,16,1.59,0.58,0.31,25.0,0.3
512,Image_2943,384,32,3,58,60,59,1.65,27,1.03,0.53,0.36,10.0,0.3
513,Image_2942,384,32,3,48,48,48,1.03,16,1.0,0.79,0.19,11.0,0.25
514,Image_2941,384,32,3,86,82,84,10.9,52,1.05,0.89,0.57,8.0,0.5
515,Image_2939,384,32,3,24,32,28,4.29,4,1.33,0.49,0.36,17.0,0.45
516,Image_2938,384,32,3,79,68,74,15.61,42,1.16,0.12,0.64,1.0,0.8
517,Image_2937,384,32,3,44,44,44,12.12,12,1.0,0.2,0.37,13.0,0.4
518,Image_2936,384,32,3,84,54,69,12.91,37,1.56,1.09,0.41,12.0,0.7
519,Image_2935,384,32,3,83,41,62,2.41,30,2.02,0.86,0.38,6.0,0.3
520,Image_2933,384,32,3,53,36,44,10.11,12,1.47,0.46,0.55,38.0,0.6
521,Image_2932,384,32,3,94,54,74,11.58,42,1.74,0.92,0.34,12.0,0.4
522,Image_2931,384,32,3,59,49,54,26.1,22,1.2,0.31,0.53,20.0,0.15
523,Image_2930,384,32,3,35,46,40,4.48,8,1.31,0.09,0.47,5.0,0.2
524,Image_2929,384,32,3,37,35,36,2.45,4,1.06,0.51,0.38,26.0,0.35
525,Image_2927,384,32,3,30,46,38,4.29,6,1.53,0.02,0.42,1.0,0.3
526,Image_2926,384,32,3,94,53,74,6.51,42,1.77,0.5,0.35,8.0,0.4
527,Image_2924,384,32,3,47,45,46,2.54,14,1.04,0.38,0.25,15.0,0.3
528,Image_2923,384,32,3,53,34,44,8.82,12,1.56,1.32,0.32,49.0,0.7
529,Image_2922,384,32,3,75,66,70,14.52,38,1.14,0.19,0.35,3.0,0.3
530,Image_2921,384,32,3,67,55,61,12.4,29,1.22,0.5,0.32,9.0,0.5
531,Image_2920,384,32,3,40,79,60,10.44,28,1.98,0.13,0.64,2.0,0.3
532,Image_2918,384,32,3,47,49,48,1.7,16,1.04,0.43,0.55,19.0,0.4
533,Image_2916,384,32,3,17,18,18,2.78,14,1.06,0.37,0.51,55.0,0.2
534,Image_2915,384,32,3,45,48,46,3.97,14,1.07,0.49,0.35,20.0,0.35
535,Image_2914,384,32,3,33,76,54,3.09,22,2.3,0.75,0.15,12.0,0.25
536,Image_2913,384,32,3,69,72,70,7.9,38,1.04,4.0,0.52,12.0,0.7
537,Image_2912,384,32,3,34,36,35,1.03,3,1.06,0.16,0.37,10.0,0.2
538,Image_2910,384,32,3,49,177,113,1.35,81,3.61,0.56,0.61,5.0,0.5
539,Image_2908,384,32,3,44,53,48,4.41,16,1.2,0.03,0.35,1.0,0.4
540,Image_2248,384,32,3,38,56,47,2.96,15,1.47,0.13,0.38,8.0,0.2
541,Image_2225,384,32,3,94,109,102,13.89,70,1.16,0.36,0.49,5.0,0.5
542,Image_2209,384,32,3,100,148,124,8.56,92,1.48,0.57,0.6,4.0,0.6
543,Image_2203,384,32,3,64,100,82,8.41,50,1.56,1.0,0.37,11.0,0.7
544,Image_2195,384,32,3,122,115,118,8.88,86,1.06,0.18,0.7,2.0,0.3
545,Image_2177,384,32,3,79,128,104,7.82,72,1.62,0.29,0.42,6.0,0.2
546,Image_2165,384,32,3,81,104,92,3.98,60,1.28,0.17,0.48,5.0,0.2
547,Image_2155,384,32,3,101,95,98,3.77,66,1.06,0.0,0.63,0.0,0.3
548,Image_2152,384,32,3,72,127,100,26.52,68,1.76,0.57,0.42,8.0,0.5
549,Image_2142,384,32,3,76,87,82,15.41,50,1.14,0.09,0.48,3.0,0.25
550,Image_2141,384,32,3,83,109,96,7.47,64,1.31,1.2,0.38,6.0,0.4
551,Image_2138,384,32,3,53,83,68,7.41,36,1.57,0.81,0.34,13.0,0.15
552,Image_2140,384,32,3,77,73,75,17.72,43,1.05,0.0,0.49,0.0,0.4
553,Image_2051,384,32,3,102,56,79,9.09,47,1.82,0.06,0.71,1.0,0.4
554,Image_2036,384,32,3,76,51,64,4.55,32,1.49,0.04,0.79,1.0,0.3
555,Image_2035,384,32,3,108,40,74,5.26,42,2.7,0.1,0.81,3.0,0.3
556,Image_2026,384,32,3,83,58,70,4.52,38,1.43,0.2,0.88,4.0,0.3
557,Image_2019,384,32,3,119,81,100,5.13,68,1.47,0.39,0.85,9.0,0.5
558,Image_2018,384,32,3,34,73,54,4.33,22,2.15,0.22,0.71,19.0,0.8
559,Image_2011,384,32,3,55,35,45,2.34,13,1.57,0.35,0.65,43.0,0.5
560,Image_2009,384,32,3,29,22,26,0.94,6,1.32,0.58,0.76,271.0,0.35
561,Image_2008,384,32,3,51,46,48,2.13,16,1.11,0.48,0.72,39.0,0.4
562,Image_2007,384,32,3,41,36,38,13.34,6,1.14,0.02,0.6,2.0,0.3
563,Image_2005,384,32,3,31,24,28,0.47,4,1.29,0.56,0.77,179.0,0.4
564,Image_2004,384,32,3,35,22,28,1.89,4,1.59,0.53,0.72,259.0,0.4
565,Image_1493,384,32,3,17,28,22,1.32,10,1.65,1.58,0.29,41.0,0.5
566,Image_1463,384,32,3,31,37,34,6.78,2,1.19,0.18,0.34,9.0,0.3
567,Image_1461,384,32,3,15,23,19,1.67,13,1.53,1.06,0.39,51.0,0.3
568,Image_1456,384,32,3,15,21,18,2.32,14,1.4,0.1,0.55,16.0,0.2
569,Image_1130,384,32,3,15,10,12,1.7,20,1.5,0.56,0.9,22.0,0.8
570,Image_1106,384,32,3,31,28,30,5.92,2,1.11,0.29,0.52,11.0,0.4
571,Image_998,384,32,3,34,42,38,2.51,6,1.24,0.6,0.48,9.0,0.6
572,Image_996,384,32,3,59,78,68,8.63,36,1.32,0.64,0.48,7.0,0.3
573,Image_993,384,32,3,59,75,67,11.75,35,1.27,0.7,0.25,7.0,0.3
574,Image_991,384,32,3,18,29,24,1.05,8,1.61,0.08,0.63,8.0,0.4
575,Image_990,384,32,3,19,27,23,0.94,9,1.42,0.2,0.68,28.0,0.4
576,Image_989,384,32,3,27,82,54,8.61,22,3.04,0.1,0.47,6.0,0.25
577,Image_988,384,32,3,57,114,86,2.34,54,2.0,0.0,0.43,0.0,0.2
578,Image_985,384,32,3,30,46,38,6.6,6,1.53,0.43,0.57,16.0,0.6
579,Image_907,384,32,3,48,125,86,11.0,54,2.6,0.17,0.59,6.0,0.6
580,Image_906,384,32,3,13,28,20,3.02,12,2.15,2.67,0.48,171.0,0.9
581,Image_701,384,32,3,40,73,56,2.83,24,1.82,0.03,0.4,2.0,0.2
582,Image_693,384,32,3,61,84,72,2.03,40,1.38,0.23,0.51,5.0,0.2
583,Image_680,384,32,3,53,145,99,4.26,67,2.74,0.2,0.53,2.0,0.25
584,Image_349,384,32,3,51,100,76,2.28,44,1.96,0.5,0.43,13.0,0.4
585,Image_342,384,32,3,49,64,56,21.39,24,1.31,0.4,0.47,19.0,0.5
586,Image_336,384,32,3,35,45,40,4.14,8,1.29,0.92,0.95,183.0,1.0
587,Image_330,384,32,3,84,111,98,8.1,66,1.32,0.36,0.6,14.0,0.2
588,Image_317,384,32,3,16,25,20,3.57,12,1.56,0.4,0.54,4.0,0.2
589,Image_313,384,32,3,83,125,104,10.78,72,1.51,0.26,0.55,8.0,0.25
590,Image_293,384,32,3,45,72,58,6.54,26,1.6,0.07,0.41,3.0,0.2
591,Image_291,384,32,3,54,99,76,11.11,44,1.83,1.0,0.48,7.0,0.5
592,Image_286,384,32,3,53,87,70,13.14,38,1.64,0.09,0.48,1.0,0.7
593,Image_2,384,32,3,50,82,66,1.94,34,1.64,0.14,0.46,1.0,0.2
594,Image_7645,384,48,3,43,145,94,5.91,46,3.37,0.55,0.78,17.0,0.5
