,image_name,resized_size,patch_size,kernel_dim,Avg_ref_h,Avg_ref_z,mean_box_size,std_size,diff_patch_mbs,aspect_ratio,mre,qual_score,mae,score
67,Image_5563,384,24,3,17,12,14,2.03,10,1.42,0.21,0.69,50.0,0.3
68,Image_5390,384,24,3,84,53,68,10.3,44,1.58,0.08,0.46,1.0,0.6
69,Image_5386,384,24,3,51,77,64,1.97,40,1.51,0.18,0.46,3.0,0.5
70,Image_5382,384,24,3,48,65,56,2.34,32,1.35,0.36,0.63,5.0,0.6
71,Image_5380,384,24,3,94,76,85,6.04,61,1.24,1.25,0.35,5.0,0.4
72,Image_5378,384,24,3,76,73,74,2.42,50,1.04,0.21,0.6,3.0,0.3
73,Image_5376,384,24,3,100,77,88,6.25,64,1.3,0.08,0.6,1.0,0.3
74,Image_5375,384,24,3,100,79,90,7.9,66,1.27,0.49,0.57,17.0,0.3
75,Image_5372,384,24,3,57,47,52,5.72,28,1.21,0.18,0.46,7.0,0.5
76,Image_5371,384,24,3,53,52,52,3.28,28,1.02,0.04,0.36,2.0,0.2
77,Image_5369,384,24,3,42,50,46,5.72,22,1.19,0.07,0.44,2.0,0.3
78,Image_5368,384,24,3,26,24,25,1.72,1,1.08,0.09,0.51,15.0,0.2
79,Image_5367,384,24,3,19,31,25,0.47,1,1.63,0.03,0.47,4.0,0.1
80,Image_5366,384,24,3,26,37,32,1.56,8,1.42,0.11,0.42,7.0,0.3
81,Image_5364,384,24,3,49,56,52,2.57,28,1.14,0.41,0.52,16.0,0.4
82,Image_5363,384,24,3,31,40,36,3.71,12,1.29,0.03,0.44,1.0,0.2
83,Image_5361,384,24,3,29,43,36,4.15,12,1.48,0.12,0.43,3.0,0.3
84,Image_5360,384,24,3,29,40,34,2.55,10,1.38,0.24,0.46,21.0,0.2
85,Image_5359,384,24,3,17,24,20,0.64,4,1.41,0.21,0.57,9.0,0.0
86,Image_5358,384,24,3,55,73,64,3.13,40,1.33,0.5,0.6,25.0,0.25
87,Image_5149,384,24,3,25,32,28,2.16,4,1.28,0.18,0.53,17.0,0.4
88,Image_5143,384,24,3,23,45,34,8.85,10,1.96,0.21,0.59,17.0,0.3
89,Image_5142,384,24,3,22,29,26,3.27,2,1.32,0.02,0.5,4.0,0.2
90,Image_4970,384,24,3,35,46,40,1.87,16,1.31,0.14,0.55,7.0,0.5
91,Image_4969,384,24,3,38,28,33,5.18,9,1.36,0.2,0.47,28.0,0.3
92,Image_4967,384,24,3,65,99,82,3.4,58,1.52,0.1,0.6,2.0,0.6
93,Image_4966,384,24,3,60,83,72,6.22,48,1.38,0.18,0.48,10.0,0.4
94,Image_4965,384,24,3,75,120,98,17.03,74,1.6,0.67,0.64,6.0,0.7
95,Image_4964,384,24,3,41,55,48,8.38,24,1.34,0.3,0.46,22.0,0.3
96,Image_4963,384,24,3,19,31,25,2.49,1,1.63,0.15,0.5,37.0,0.1
97,Image_4962,384,24,3,37,41,39,5.26,15,1.11,0.33,0.53,15.0,0.2
98,Image_4961,384,24,3,10,17,14,1.97,10,1.7,0.16,0.67,70.0,0.2
99,Image_4960,384,24,3,59,84,72,19.51,48,1.42,0.26,0.51,10.0,0.4
100,Image_4959,384,24,3,38,62,50,1.65,26,1.63,0.16,0.51,6.0,0.5
101,Image_4958,384,24,3,44,60,52,11.44,28,1.36,0.11,0.4,15.0,0.5
102,Image_4957,384,24,3,26,35,30,9.81,6,1.35,0.11,0.48,12.0,0.5
103,Image_4956,384,24,3,27,45,36,7.56,12,1.67,0.22,0.53,29.0,0.4
104,Image_4955,384,24,3,35,46,40,9.02,16,1.31,0.1,0.39,16.0,0.3
