object,size,image_name,method,patch_size,kernel_dim,precision,recall,f1_score,computation_time
Nails_23,28,Image_0_30,otm,48,3,0.493,0.385,0.433,224.649
Nails_23,28,Image_1,otm,48,3,0.396,0.333,0.362,137.244
Nails_23,28,Image_10,otm,48,3,0.87,0.345,0.494,84.339
Nails_23,28,Image_2,otm,48,3,0.609,0.465,0.528,300.502
Nails_23,28,Image_3,otm,48,3,0.821,0.176,0.29,26.269
Nails_23,28,Image_4,otm,48,3,0.658,0.287,0.4,65.846
Nails_23,28,Image_5,otm,48,3,0.393,0.064,0.111,34.105
Nails_23,28,Image_6,otm,48,3,0.575,0.231,0.329,98.257
Nails_23,28,Image_7,otm,48,3,0.643,0.263,0.373,96.44
Nails_23,28,Image_8,otm,48,3,0.797,0.304,0.44,48.26
Nails_23,28,Image_9,otm,48,3,0.736,0.236,0.358,56.406
Nails_23,384,Image_0_30,otm,48,3,0.296,1.0,0.457,49.459
Nails_23,384,Image_1,otm,48,3,0.268,1.0,0.423,47.554
Nails_23,384,Image_10,otm,48,3,0.284,1.0,0.442,120.974
Nails_23,384,Image_2,otm,48,3,0.328,1.0,0.494,38.903
Nails_23,384,Image_3,otm,48,3,0.333,1.0,0.5,66.214
Nails_23,384,Image_4,otm,48,3,0.379,1.0,0.55,66.471
Nails_23,384,Image_5,otm,48,3,0.197,1.0,0.329,94.629
Nails_23,384,Image_6,otm,48,3,0.224,0.957,0.364,102.622
Nails_23,384,Image_7,otm,48,3,0.234,0.714,0.353,78.933
Nails_23,384,Image_8,otm,48,3,0.333,1.0,0.5,48.898
Nails_23,384,Image_9,otm,48,3,0.267,1.0,0.422,109.816
Nails_23,45,Image_0_30,otm,48,3,0.593,0.235,0.337,25.315
Nails_23,45,Image_1,otm,48,3,0.528,0.306,0.388,17.799
Nails_23,45,Image_10,otm,48,3,0.613,0.232,0.336,41.254
Nails_23,45,Image_2,otm,48,3,0.833,0.294,0.435,17.996
Nails_23,45,Image_3,otm,48,3,0.826,0.271,0.409,11.874
Nails_23,45,Image_4,otm,48,3,0.8,0.389,0.523,27.666
Nails_23,45,Image_5,otm,48,3,0.471,0.111,0.18,10.553
Nails_23,45,Image_6,otm,48,3,0.808,0.284,0.42,25.016
Nails_23,45,Image_7,otm,48,3,0.781,0.368,0.5,22.677
Nails_23,45,Image_8,otm,48,3,0.8,0.471,0.593,34.594
Nails_23,45,Image_9,otm,48,3,0.69,0.27,0.388,33.925
Nails_23,68,Image_0_30,otm,48,3,0.548,0.333,0.415,38.63
Nails_23,68,Image_1,otm,48,3,0.781,0.481,0.595,13.682
Nails_23,68,Image_10,otm,48,3,0.839,0.5,0.627,44.033
Nails_23,68,Image_2,otm,48,3,0.833,0.392,0.533,22.232
Nails_23,68,Image_3,otm,48,3,0.516,0.314,0.39,43.808
Nails_23,68,Image_4,otm,48,3,0.812,0.51,0.627,21.703
Nails_23,68,Image_5,otm,48,3,0.522,0.25,0.338,21.118
Nails_23,68,Image_6,otm,48,3,0.696,0.348,0.464,19.619
Nails_23,68,Image_7,otm,48,3,0.594,0.413,0.487,17.708
Nails_23,68,Image_8,otm,48,3,0.391,0.391,0.391,40.199
Nails_23,68,Image_9,otm,48,3,0.59,0.469,0.523,35.319
Nails_32,28,Image_0_30,otm,48,3,0.589,0.528,0.557,224.43
Nails_32,28,Image_1,otm,48,3,0.446,0.703,0.546,196.444
Nails_32,28,Image_10,otm,48,3,0.795,0.201,0.321,42.233
Nails_32,28,Image_2,otm,48,3,0.701,0.309,0.429,180.729
Nails_32,28,Image_3,otm,48,3,0.963,0.143,0.249,24.38
Nails_32,28,Image_4,otm,48,3,0.676,0.264,0.38,84.246
Nails_32,28,Image_5,otm,48,3,0.943,0.193,0.32,25.043
Nails_32,28,Image_6,otm,48,3,0.574,0.17,0.263,61.641
Nails_32,28,Image_7,otm,48,3,0.73,0.158,0.26,27.273
Nails_32,28,Image_8,otm,48,3,0.581,0.107,0.181,40.862
Nails_32,28,Image_9,otm,48,3,0.534,0.188,0.278,58.646
Nails_32,45,Image_0_30,otm,48,3,0.909,0.441,0.594,18.473
Nails_32,45,Image_1,otm,48,3,0.533,0.516,0.525,21.541
