object,size,image_name,method,patch_size,kernel_dim,precision,recall,f1_score,computation_time
Nails_32,45,Image_9,otm,32,3,0.325,0.865,0.472,103.513
Nails_32,68,Image_0_30,otm,32,3,0.322,0.941,0.48,84.059
Nails_32,68,Image_1,otm,32,3,0.625,0.673,0.648,21.509
Nails_32,68,Image_10,otm,32,3,0.28,0.808,0.416,91.244
Nails_32,68,Image_2,otm,32,3,0.493,0.686,0.574,26.481
Nails_32,68,Image_3,otm,32,3,0.248,1.0,0.397,110.846
Nails_32,68,Image_4,otm,32,3,0.274,0.843,0.413,88.421
Nails_32,68,Image_5,otm,32,3,0.266,0.958,0.416,71.951
Nails_32,68,Image_6,otm,32,3,0.253,0.978,0.402,90.249
Nails_32,68,Image_7,otm,32,3,0.183,0.913,0.305,111.453
Nails_32,68,Image_8,otm,32,3,0.317,0.957,0.476,64.701
Nails_32,68,Image_9,otm,32,3,0.303,0.878,0.45,74.084
Nuts,28,Image_0_50,otm,32,3,0.806,0.976,0.883,27.339
Nuts,28,Image_1,otm,32,3,0.808,0.909,0.856,27.6
Nuts,28,Image_10,otm,32,3,0.857,0.988,0.918,18.862
Nuts,28,Image_2,otm,32,3,0.898,0.989,0.941,24.647
Nuts,28,Image_3,otm,32,3,0.878,0.956,0.915,29.635
Nuts,28,Image_4,otm,32,3,0.857,0.944,0.898,27.878
Nuts,28,Image_5,otm,32,3,0.839,0.869,0.854,21.853
Nuts,28,Image_6,otm,32,3,0.882,0.965,0.921,31.563
Nuts,28,Image_7,otm,32,3,0.832,0.908,0.868,28.551
Nuts,28,Image_8,otm,32,3,0.898,0.946,0.921,27.447
Nuts,28,Image_9,otm,32,3,0.841,1.0,0.914,31.502
Nuts,384,Image_0_50,otm,32,3,0.706,1.0,0.828,3.962
Nuts,384,Image_1,otm,32,3,0.7,1.0,0.824,5.449
Nuts,384,Image_10,otm,32,3,1.0,0.9,0.947,1.831
Nuts,384,Image_2,otm,32,3,1.0,1.0,1.0,1.819
Nuts,384,Image_3,otm,32,3,0.75,1.0,0.857,4.931
Nuts,384,Image_4,otm,32,3,0.733,1.0,0.846,3.746
Nuts,384,Image_5,otm,32,3,0.714,0.769,0.741,2.618
Nuts,384,Image_6,otm,32,3,0.833,0.833,0.833,2.864
Nuts,384,Image_7,otm,32,3,1.0,0.714,0.833,1.43
Nuts,384,Image_8,otm,32,3,0.933,0.875,0.903,3.359
Nuts,384,Image_9,otm,32,3,1.0,0.429,0.6,1.518
