object,size,image_name,method,precision,recall,f1_score,computation_time
Nails_32,384,Image_6,otm,0.81,0.739,0.773,1.249
Nails_32,384,Image_7,otm,0.667,0.571,0.615,1.215
Nails_32,384,Image_8,otm,0.889,0.727,0.8,1.188
Nails_32,384,Image_9,otm,0.565,0.565,0.565,1.235
Nails_32,45,Image_0_30,otm,0.754,0.721,0.737,1.53
Nails_32,45,Image_1,otm,0.913,0.677,0.778,1.424
Nails_32,45,Image_10,otm,0.819,0.72,0.766,1.763
Nails_32,45,Image_2,otm,0.868,0.868,0.868,1.511
Nails_32,45,Image_3,otm,0.889,0.914,0.901,1.604
Nails_32,45,Image_4,otm,0.871,0.847,0.859,1.612
Nails_32,45,Image_5,otm,0.841,0.806,0.823,1.538
Nails_32,45,Image_6,otm,0.838,0.77,0.803,1.555
Nails_32,45,Image_7,otm,0.706,0.706,0.706,1.402
Nails_32,45,Image_8,otm,0.811,0.632,0.711,1.36
Nails_32,45,Image_9,otm,0.821,0.743,0.78,1.52
Nails_32,68,Image_0_30,otm,0.952,0.784,0.86,1.369
Nails_32,68,Image_1,otm,0.949,0.712,0.813,1.315
Nails_32,68,Image_10,otm,0.784,0.769,0.777,1.443
Nails_32,68,Image_2,otm,0.84,0.824,0.832,1.722
Nails_32,68,Image_3,otm,0.958,0.902,0.929,1.351
Nails_32,68,Image_4,otm,0.755,0.725,0.74,1.753
Nails_32,68,Image_5,otm,0.8,0.75,0.774,1.444
Nails_32,68,Image_6,otm,0.881,0.804,0.841,1.413
Nails_32,68,Image_7,otm,0.617,0.63,0.624,1.722
Nails_32,68,Image_8,otm,0.9,0.783,0.837,1.367
Nails_32,68,Image_9,otm,0.932,0.837,0.882,1.514
Nuts,28,Image_0_50,otm,0.917,0.906,0.911,2.826
Nuts,28,Image_1,otm,0.92,0.92,0.92,1.973
Nuts,28,Image_10,otm,0.918,0.918,0.918,2.16
Nuts,28,Image_2,otm,0.955,0.955,0.955,1.893
Nuts,28,Image_3,otm,0.922,0.922,0.922,2.324
Nuts,28,Image_4,otm,0.854,0.854,0.854,1.895
Nuts,28,Image_5,otm,0.901,0.869,0.885,1.736
Nuts,28,Image_6,otm,0.871,0.871,0.871,1.819
Nuts,28,Image_7,otm,0.965,0.954,0.96,2.427
Nuts,28,Image_8,otm,0.914,0.914,0.914,2.872
Nuts,28,Image_9,otm,0.911,0.911,0.911,2.505
Nuts,384,Image_0_50,otm,1.0,1.0,1.0,1.319
Nuts,384,Image_1,otm,0.929,0.929,0.929,1.221
Nuts,384,Image_10,otm,1.0,1.0,1.0,1.25
Nuts,384,Image_2,otm,1.0,1.0,1.0,1.166
Nuts,384,Image_3,otm,0.933,0.933,0.933,1.214
Nuts,384,Image_4,otm,0.818,0.818,0.818,1.153
Nuts,384,Image_5,otm,0.917,0.846,0.88,1.221
Nuts,384,Image_6,otm,0.917,0.917,0.917,1.161
Nuts,384,Image_7,otm,1.0,0.857,0.923,1.178
Nuts,384,Image_8,otm,1.0,0.938,0.968,1.255
Nuts,384,Image_9,otm,1.0,0.714,0.833,1.187
Nuts,45,Image_0_50,otm,0.913,0.913,0.913,1.646
Nuts,45,Image_1,otm,0.925,0.902,0.914,1.241
Nuts,45,Image_10,otm,0.973,0.947,0.96,1.383
Nuts,45,Image_2,otm,0.976,0.976,0.976,1.578
Nuts,45,Image_3,otm,0.944,0.944,0.944,1.402
Nuts,45,Image_4,otm,0.939,0.939,0.939,1.265
Nuts,45,Image_5,otm,0.941,0.941,0.941,1.369
Nuts,45,Image_6,otm,0.889,0.889,0.889,1.228
Nuts,45,Image_7,otm,0.88,0.786,0.83,1.389
Nuts,45,Image_8,otm,0.933,0.933,0.933,1.393
Nuts,45,Image_9,otm,0.972,0.921,0.946,1.373
Nuts,68,Image_0_50,otm,0.972,0.921,0.946,1.32
Nuts,68,Image_1,otm,0.964,0.931,0.947,1.358
Nuts,68,Image_10,otm,0.862,0.833,0.847,1.248
Nuts,68,Image_2,otm,0.931,0.9,0.915,1.32
Nuts,68,Image_3,otm,0.962,0.962,0.962,1.296
Nuts,68,Image_4,otm,0.962,0.962,0.962,1.286
Nuts,68,Image_5,otm,0.933,0.903,0.918,1.264
Nuts,68,Image_6,otm,0.931,0.931,0.931,1.247
Nuts,68,Image_7,otm,0.938,0.938,0.938,1.266
Nuts,68,Image_8,otm,0.96,0.96,0.96,1.346
Nuts,68,Image_9,otm,1.0,0.955,0.977,1.255
Pins2,28,Image_0,otm,0.892,0.892,0.892,5.967
Pins2,28,Image_1,otm,0.95,0.95,0.95,6.205
Pins2,28,Image_10,otm,0.929,0.934,0.931,5.822
Pins2,28,Image_2,otm,0.929,0.935,0.932,6.047
Pins2,28,Image_3,otm,0.925,0.925,0.925,8.664
Pins2,28,Image_4,otm,0.948,0.961,0.954,6.627
Pins2,28,Image_5,otm,0.915,0.938,0.926,6.672
Pins2,28,Image_6,otm,0.906,0.911,0.909,8.092
Pins2,28,Image_7,otm,0.939,0.944,0.942,4.71
Pins2,28,Image_8,otm,0.894,0.894,0.894,6.39
Pins2,28,Image_9,otm,0.899,0.899,0.899,7.97
Pins2,384,Image_0,otm,0.929,0.812,0.867,1.181
Pins2,384,Image_1,otm,1.0,1.0,1.0,1.161
Pins2,384,Image_10,otm,1.0,0.909,0.952,1.224
Pins2,384,Image_2,otm,0.917,0.917,0.917,1.17
Pins2,384,Image_3,otm,0.778,0.778,0.778,1.132
Pins2,384,Image_4,otm,1.0,1.0,1.0,1.127
Pins2,384,Image_5,otm,1.0,1.0,1.0,1.155
Pins2,384,Image_6,otm,1.0,1.0,1.0,1.164
Pins2,384,Image_7,otm,1.0,1.0,1.0,1.138
Pins2,384,Image_8,otm,1.0,0.5,0.667,1.132
Pins2,384,Image_9,otm,1.0,0.8,0.889,1.133
Pins2,45,Image_0,otm,0.931,0.915,0.923,1.584
Pins2,45,Image_1,otm,0.944,0.944,0.944,1.835
Pins2,45,Image_10,otm,0.962,0.944,0.953,1.514
Pins2,45,Image_2,otm,0.877,0.889,0.883,1.516
Pins2,45,Image_3,otm,0.932,0.932,0.932,2.331
Pins2,45,Image_4,otm,0.985,0.971,0.978,1.601
Pins2,45,Image_5,otm,0.944,0.931,0.937,2.011
Pins2,45,Image_6,otm,0.908,0.908,0.908,1.536
Pins2,45,Image_7,otm,0.952,0.952,0.952,2.179
Pins2,45,Image_8,otm,0.951,0.967,0.959,2.279
Pins2,45,Image_9,otm,0.931,0.931,0.931,1.601
Pins2,68,Image_0,otm,1.0,1.0,1.0,1.241
Pins2,68,Image_1,otm,1.0,0.969,0.984,1.315
Pins2,68,Image_10,otm,0.889,0.914,0.901,1.249
Pins2,68,Image_2,otm,0.931,0.931,0.931,1.25
Pins2,68,Image_3,otm,0.933,0.933,0.933,1.417
Pins2,68,Image_4,otm,1.0,1.0,1.0,1.258
Pins2,68,Image_5,otm,1.0,0.974,0.987,1.355
Pins2,68,Image_6,otm,0.939,0.969,0.954,1.229
Pins2,68,Image_7,otm,0.933,0.933,0.933,1.352
Pins2,68,Image_8,otm,0.931,0.931,0.931,1.302
Pins2,68,Image_9,otm,0.897,0.897,0.897,1.301
Small_nails_23,28,Image_0,otm,0.75,0.49,0.593,1.834
Small_nails_23,28,Image_1,otm,0.969,0.653,0.78,1.551
Small_nails_23,28,Image_10,otm,0.68,0.567,0.618,1.654
Small_nails_23,28,Image_2,otm,0.938,0.517,0.667,1.607
Small_nails_23,28,Image_3,otm,0.711,0.593,0.647,1.808
Small_nails_23,28,Image_4,otm,0.846,0.567,0.679,1.625
Small_nails_23,28,Image_5,otm,0.841,0.611,0.707,1.59
Small_nails_23,28,Image_6,otm,0.8,0.652,0.719,1.98
