model,otm,gmns,hdbscan
GT,20.17501186440678,10.332328813559323,10.752486440677966
LOCA,32.64245762711865,25.072249152542373,27.0475406779661
CountGD,6.976569256756757,2.234258445945946,2.145028716216216
CACViT,52.22550254668931,9.406716468590833,5.869380305602717
