object,size,image_name,method,patch_size,kernel_dim,precision,recall,f1_score,computation_time
Nuts,28,Image_9,otm,32,3,0.804,1.0,0.891,26.584
Nuts,384,Image_0_50,otm,32,3,1.0,1.0,1.0,2.203
Nuts,384,Image_1,otm,32,3,1.0,0.857,0.923,2.509
Nuts,384,Image_10,otm,32,3,1.0,0.7,0.824,1.805
Nuts,384,Image_2,otm,32,3,1.0,0.625,0.769,1.663
Nuts,384,Image_3,otm,32,3,1.0,0.933,0.966,3.881
Nuts,384,Image_4,otm,32,3,1.0,0.909,0.952,2.431
Nuts,384,Image_5,otm,32,3,1.0,0.769,0.87,2.191
Nuts,384,Image_6,otm,32,3,1.0,0.583,0.737,2.223
Nuts,384,Image_7,otm,32,3,1.0,0.286,0.444,1.277
Nuts,384,Image_8,otm,32,3,1.0,0.812,0.897,2.337
Nuts,384,Image_9,otm,32,3,1.0,0.143,0.25,1.248
Nuts,45,Image_0_50,otm,32,3,0.979,1.0,0.989,12.928
Nuts,45,Image_1,otm,32,3,0.902,0.902,0.902,7.799
Nuts,45,Image_10,otm,32,3,0.857,0.947,0.9,9.285
Nuts,45,Image_2,otm,32,3,0.976,0.976,0.976,9.592
Nuts,45,Image_3,otm,32,3,0.846,0.917,0.88,7.919
Nuts,45,Image_4,otm,32,3,0.939,0.939,0.939,4.178
Nuts,45,Image_5,otm,32,3,1.0,0.882,0.938,4.663
Nuts,45,Image_6,otm,32,3,0.944,0.944,0.944,4.705
Nuts,45,Image_7,otm,32,3,0.958,0.821,0.885,4.365
Nuts,45,Image_8,otm,32,3,0.938,1.0,0.968,3.67
Nuts,45,Image_9,otm,32,3,0.842,0.842,0.842,6.965
Nuts,68,Image_0_50,otm,32,3,0.9,0.947,0.923,9.343
Nuts,68,Image_1,otm,32,3,0.818,0.931,0.871,4.748
Nuts,68,Image_10,otm,32,3,0.879,0.967,0.921,5.869
Nuts,68,Image_2,otm,32,3,0.903,0.933,0.918,8.72
Nuts,68,Image_3,otm,32,3,0.893,0.962,0.926,7.304
Nuts,68,Image_4,otm,32,3,0.88,0.846,0.863,5.397
