image_name,resized_size,patch_size,Avg_ref_h,Avg_ref_z,mean_box_size,diff_patch_mbs,mae, score
Image_4502,384,24,23,312,168,144,18,0.1
Image_4501,384,24,20,321,170,146,0,0.1
Image_4500,384,24,44,351,198,174,7,0.0
Image_4497,384,24,24,301,162,138,20,0.2
Image_4496,384,24,27,337,182,158,41,0.0
Image_4494,384,24,14,285,150,126,38,0.1
Image_4493,384,24,19,308,164,140,3,0.3
Image_4409,384,24,48,80,64,40,2,0.1
Image_4407,384,24,20,39,30,6,18,0.5
Image_4406,384,24,13,27,20,4,2,0.7
Image_4296,384,24,59,67,63,39,17,0.7
Image_4286,384,24,17,27,22,2,57,0.9
Image_4175,384,24,78,126,102,78,7,0.6
Image_4170,384,24,29,119,74,50,12,0.6
Image_4123,384,24,69,61,65,41,1,0.4
Image_4122,384,24,68,111,90,66,9,0.2
Image_4121,384,24,69,108,88,64,13,0.2
Image_4120,384,24,43,56,50,26,16,0.4
Image_4119,384,24,78,112,95,71,7,0.4
Image_4116,384,24,59,80,70,46,13,0.5
Image_4115,384,24,39,72,56,32,2,0.3
Image_4113,384,24,40,57,48,24,35,0.5
Image_4111,384,24,35,42,38,14,8,0.4
Image_4110,384,24,132,52,92,68,3,0.7
Image_4089,384,24,31,60,46,22,36,0.5
Image_4088,384,24,46,59,52,28,20,0.3
Image_4087,384,24,40,31,36,12,34,0.8
Image_4086,384,24,53,75,64,40,2,0.6
Image_4085,384,24,26,36,31,7,20,0.8
Image_4084,384,24,44,57,50,26,9,0.5
Image_4083,384,24,54,54,54,30,12,0.6
Image_4082,384,24,28,22,25,1,15,0.6
Image_4079,384,24,44,61,52,28,4,0.7
Image_4078,384,24,32,52,42,18,12,0.65
Image_4077,384,24,17,34,26,2,3,0.9
Image_4074,384,24,48,62,55,31,8,0.5
Image_4073,384,24,65,60,62,38,13,0.7
Image_4072,384,24,65,86,76,52,2,0.7
Image_4069,384,24,35,26,30,6,24,0.8
Image_4068,384,24,71,99,85,61,5,0.4
Image_4067,384,24,38,52,45,21,11,0.7
Image_4066,384,24,72,98,85,61,1,0.6
Image_4065,384,24,51,40,46,22,15,0.5
Image_4063,384,24,57,57,57,33,1,0.8
Image_4062,384,24,15,25,20,4,113,0.65
Image_3697,384,24,149,108,128,104,3,0.5
Image_3696,384,24,146,126,136,112,3,0.5
Image_3694,384,24,57,86,72,48,10,0.3
Image_3693,384,24,44,54,49,25,4,0.8
Image_3651,384,24,89,114,102,78,5,0.5
Image_3650,384,24,47,81,64,40,6,0.8
Image_3645,384,24,45,49,47,23,6,0.7
Image_3644,384,24,63,61,62,38,1,0.6
Image_3501,384,24,30,41,36,12,5,0.8
Image_3500,384,24,51,70,60,36,2,0.9
Image_3494,384,24,85,53,69,45,5,0.8
Image_3342,384,24,72,112,92,68,2,0.7
Image_3341,384,24,52,57,54,30,11,0.9
Image_3339,384,24,67,94,80,56,16,0.6
Image_3329,384,24,15,10,12,12,83,0.4
Image_3310,384,24,40,50,45,21,0,1.0
Image_3309,384,24,49,80,64,40,0,1.0
Image_3284,384,24,80,92,86,62,13,0.4
Image_3283,384,24,31,32,32,8,1,0.6
Image_3282,384,24,57,63,60,36,12,0.7
Image_3281,384,24,90,57,74,50,8,0.75
Image_3279,384,24,44,59,52,28,1,0.5
Image_3278,384,24,55,41,48,24,24,0.3
Image_3275,384,24,80,72,76,52,13,0.7
Image_3271,384,24,96,102,99,75,35,0.5
Image_3270,384,24,68,80,74,50,5,0.7
Image_3268,384,24,68,77,72,48,7,0.4
Image_3160,384,24,89,93,91,67,0,0.5
Image_2956,384,24,81,46,64,40,0,0.5
Image_2955,384,24,39,31,35,11,24,0.4
Image_2954,384,24,47,78,62,38,20,0.5
Image_2952,384,24,28,59,44,20,2,0.6
Image_2951,384,24,39,68,54,30,1,0.7
Image_2949,384,24,87,37,62,38,5,0.6
Image_2948,384,24,80,78,79,55,7,0.5
Image_2947,384,24,51,60,56,32,1,0.5
Image_2946,384,24,72,63,68,44,4,0.4
Image_2945,384,24,75,52,64,40,1,0.8
Image_2944,384,24,37,59,48,24,2,0.7
Image_2943,384,24,58,60,59,35,2,0.8
Image_2942,384,24,48,48,48,24,6,0.75
Image_2941,384,24,86,82,84,60,3,0.3
Image_2939,384,24,24,32,28,4,27,0.2
Image_2938,384,24,79,68,74,50,2,0.4
Image_2937,384,24,44,44,44,20,37,0.4
Image_2936,384,24,84,54,69,45,2,0.4
Image_2935,384,24,83,41,62,38,7,0.2
Image_2933,384,24,53,36,44,20,6,0.6
Image_2932,384,24,94,54,74,50,5,0.4
Image_2931,384,24,59,49,54,30,11,0.2
Image_2930,384,24,35,46,40,16,8,0.7
Image_2929,384,24,37,35,36,12,23,0.3
Image_2927,384,24,30,46,38,14,5,0.6
Image_2926,384,24,94,53,74,50,12,0.4
Image_2924,384,24,47,45,46,22,1,0.6
Image_2923,384,24,53,34,44,20,53,0.3
Image_2922,384,24,75,66,70,46,3,0.6
Image_2921,384,24,67,55,61,37,6,0.6
Image_2920,384,24,40,79,60,36,6,0.5
Image_2918,384,24,47,49,48,24,19,0.5
Image_2916,384,24,17,18,18,6,94,0.2
Image_2915,384,24,45,48,46,22,3,0.4
Image_2914,384,24,33,76,54,30,4,0.7
Image_2913,384,24,69,72,70,46,11,0.3
Image_2912,384,24,34,36,35,11,4,0.8
Image_2910,384,24,49,177,113,89,6,0.6
Image_2908,384,24,44,53,48,24,1,0.8
Image_2248,384,24,38,56,47,23,24,0.7
Image_2225,384,24,94,109,102,78,2,0.3
Image_2209,384,24,100,148,124,100,1,0.2
Image_2203,384,24,64,100,82,58,2,0.3
Image_2195,384,24,122,115,118,94,2,0.2
Image_2177,384,24,79,128,104,80,2,0.5
Image_2165,384,24,81,104,92,68,18,0.6
Image_2155,384,24,101,95,98,74,7,0.4
Image_2152,384,24,72,127,100,76,3, 0.2
Image_2142,384,24,76,87,82,58,13,0.4 
Image_2141,384,24,83,109,96,72,0,0.5
Image_2138,384,24,53,83,68,44,6,0.7
Image_2140,384,24,77,73,75,51,4,0.7
Image_2051,384,24,102,56,79,55,8,0.5
Image_2036,384,24,76,51,64,40,3,0.7
Image_2035,384,24,108,40,74,50,20,0.6
Image_2026,384,24,83,58,70,46,3,0.5
Image_2019,384,24,119,81,100,76,16,0.3
Image_2018,384,24,34,73,54,30,19,0.3
Image_2011,384,24,55,35,45,21,61,0.65
Image_2009,384,24,29,22,26,2,200,0.8
Image_2008,384,24,51,46,48,24,46,0.7
Image_2007,384,24,41,36,38,14,24,0.7
Image_2005,384,24,31,24,28,4,133,0.75
Image_2004,384,24,35,22,28,4,218,0.7
Image_1493,384,24,17,28,22,2,51,0.3
Image_1463,384,24,31,37,34,10,9,0.6
Image_1461,384,24,15,23,19,5,74,0.4
Image_1456,384,24,15,21,18,6,49,0.4
Image_1130,384,24,15,10,12,12,27,0.2
Image_1106,384,24,31,28,30,6,3,0.2
Image_998,384,24,34,42,38,14,1,0.3
Image_996,384,24,59,78,68,44,7,0.4
Image_993,384,24,59,75,67,43,2,0.6
Image_991,384,24,18,29,24,0,20,0.7
Image_990,384,24,19,27,23,1,0,0.6
Image_989,384,24,27,82,54,30,65,0.5
Image_988,384,24,57,114,86,62,7,0.6
