object,size,image_name,method,patch_size,kernel_dim,precision,recall,f1_score,computation_time
Nails_23,28,Image_0_30,otm,48,3,0.495,0.333,0.398,118.157
Nails_23,28,Image_1,otm,48,3,0.388,0.43,0.408,104.078
Nails_23,28,Image_10,otm,48,3,0.469,0.661,0.549,207.475
Nails_23,28,Image_2,otm,48,3,0.745,0.417,0.535,162.584
Nails_23,28,Image_3,otm,48,3,0.32,0.308,0.314,132.796
Nails_23,28,Image_4,otm,48,3,0.455,0.69,0.548,246.55
Nails_23,28,Image_5,otm,48,3,0.361,0.538,0.432,222.045
Nails_23,28,Image_6,otm,48,3,0.712,0.489,0.58,118.565
Nails_23,28,Image_7,otm,48,3,0.447,0.795,0.573,218.046
Nails_23,28,Image_8,otm,48,3,0.626,0.708,0.665,187.3
Nails_23,28,Image_9,otm,48,3,0.546,0.861,0.668,226.1
Nails_23,384,Image_0_30,otm,48,3,0.103,1.0,0.187,113.851
Nails_23,384,Image_1,otm,48,3,0.098,1.0,0.178,113.26
Nails_23,384,Image_10,otm,48,3,0.103,0.96,0.185,153.664
Nails_23,384,Image_2,otm,48,3,0.142,1.0,0.249,82.302
Nails_23,384,Image_3,otm,48,3,0.099,1.0,0.179,127.62
Nails_23,384,Image_4,otm,48,3,0.094,1.0,0.173,140.317
Nails_23,384,Image_5,otm,48,3,0.096,1.0,0.175,152.78
Nails_23,384,Image_6,otm,48,3,0.092,0.957,0.169,160.417
Nails_23,384,Image_7,otm,48,3,0.087,1.0,0.161,148.313
Nails_23,384,Image_8,otm,48,3,0.095,1.0,0.173,133.115
Nails_23,384,Image_9,otm,48,3,0.092,1.0,0.169,164.345
Nails_23,45,Image_0_30,otm,48,3,0.287,0.735,0.413,104.147
Nails_23,45,Image_1,otm,48,3,0.406,0.871,0.554,46.181
Nails_23,45,Image_10,otm,48,3,0.281,0.915,0.43,199.206
Nails_23,45,Image_2,otm,48,3,0.543,0.735,0.625,58.661
Nails_23,45,Image_3,otm,48,3,0.201,0.929,0.331,207.46
Nails_23,45,Image_4,otm,48,3,0.301,0.917,0.454,169.53
Nails_23,45,Image_5,otm,48,3,0.262,0.958,0.412,199.093
Nails_23,45,Image_6,otm,48,3,0.28,0.946,0.432,168.699
Nails_23,45,Image_7,otm,48,3,0.212,1.0,0.351,238.443
Nails_23,45,Image_8,otm,48,3,0.298,0.985,0.457,156.997
Nails_23,45,Image_9,otm,48,3,0.243,0.973,0.389,228.505
Nails_32,28,Image_0_30,otm,48,3,0.719,0.507,0.595,216.163
Nails_32,28,Image_1,otm,48,3,0.502,0.612,0.552,180.364
Nails_32,28,Image_10,otm,48,3,0.518,0.81,0.632,295.765
Nails_32,28,Image_2,otm,48,3,0.807,0.42,0.553,220.564
Nails_32,28,Image_3,otm,48,3,0.578,0.489,0.53,152.435
Nails_32,28,Image_4,otm,48,3,0.504,0.684,0.58,282.256
Nails_32,28,Image_5,otm,48,3,0.486,0.819,0.61,275.644
Nails_32,28,Image_6,otm,48,3,0.391,0.385,0.388,196.874
Nails_32,28,Image_7,otm,48,3,0.556,0.667,0.606,212.339
Nails_32,28,Image_8,otm,48,3,0.641,0.542,0.587,164.544
Nails_32,28,Image_9,otm,48,3,0.494,0.709,0.582,267.321
Nails_32,384,Image_0_30,otm,48,3,0.101,1.0,0.184,147.953
Nails_32,384,Image_1,otm,48,3,0.101,1.0,0.184,138.161
Nails_32,384,Image_10,otm,48,3,0.101,0.96,0.183,186.796
Nails_32,384,Image_2,otm,48,3,0.151,1.0,0.263,67.84
Nails_32,384,Image_3,otm,48,3,0.106,1.0,0.192,137.705
Nails_32,384,Image_4,otm,48,3,0.09,1.0,0.165,182.824
Nails_32,384,Image_5,otm,48,3,0.095,1.0,0.174,189.988
Nails_32,384,Image_6,otm,48,3,0.094,0.957,0.172,182.725
Nails_32,384,Image_7,otm,48,3,0.091,1.0,0.167,179.117
Nails_32,384,Image_8,otm,48,3,0.103,1.0,0.187,148.307
Nails_32,384,Image_9,otm,48,3,0.1,1.0,0.182,175.549
Nails_32,45,Image_0_30,otm,48,3,0.352,0.912,0.508,137.349
Nails_32,45,Image_1,otm,48,3,0.509,0.903,0.651,49.656
Nails_32,45,Image_10,otm,48,3,0.306,0.915,0.459,232.546
Nails_32,45,Image_2,otm,48,3,0.528,0.691,0.599,69.74
Nails_32,45,Image_3,otm,48,3,0.278,0.971,0.432,201.975
