object,size,image_name,method,precision,recall,f1_score,computation_time
Nails_23,45,Image_4,gmms,0.627,0.583,0.604,82.291
Nails_23,45,Image_4,hdbscan,0.692,0.125,0.212,61.262
Nails_23,45,Image_5,otm,0.474,0.625,0.539,106.907
Nails_23,45,Image_5,gmms,0.442,0.583,0.503,108.25
Nails_23,45,Image_5,hdbscan,0.333,0.056,0.095,82.055
Nails_23,45,Image_6,otm,0.855,0.635,0.729,33.948
Nails_23,45,Image_6,gmms,0.964,0.716,0.822,66.809
Nails_23,45,Image_6,hdbscan,1.0,0.122,0.217,54.943
Nails_23,45,Image_7,otm,0.623,0.632,0.628,47.23
Nails_23,45,Image_7,gmms,0.565,0.574,0.569,74.005
Nails_23,45,Image_7,hdbscan,0.625,0.147,0.238,55.009
Nails_23,45,Image_8,otm,0.688,0.647,0.667,27.009
Nails_23,45,Image_8,gmms,0.766,0.721,0.742,55.431
Nails_23,45,Image_8,hdbscan,0.875,0.206,0.333,46.561
Nails_23,45,Image_9,otm,0.594,0.811,0.686,95.486
Nails_23,45,Image_9,gmms,0.644,0.878,0.743,96.668
Nails_23,45,Image_9,hdbscan,0.833,0.068,0.125,77.342
Nails_23,68,Image_0_30,otm,0.68,0.333,0.447,16.064
Nails_23,68,Image_0_30,gmms,0.64,0.314,0.421,26.028
Nails_23,68,Image_0_30,hdbscan,0.636,0.137,0.226,28.405
Nails_23,68,Image_1,otm,0.778,0.538,0.636,16.552
Nails_23,68,Image_1,gmms,0.778,0.538,0.636,44.581
Nails_23,68,Image_1,hdbscan,0.8,0.077,0.14,39.581
Nails_23,68,Image_10,otm,0.825,0.635,0.717,18.205
Nails_23,68,Image_10,gmms,0.875,0.673,0.761,30.43
Nails_23,68,Image_10,hdbscan,0.833,0.192,0.312,25.565
Nails_23,68,Image_2,otm,0.96,0.471,0.632,14.016
Nails_23,68,Image_2,gmms,0.96,0.471,0.632,26.641
Nails_23,68,Image_2,hdbscan,1.0,0.137,0.241,28.0
Nails_23,68,Image_3,otm,0.615,0.314,0.416,12.11
Nails_23,68,Image_3,gmms,0.654,0.333,0.442,22.201
Nails_23,68,Image_3,hdbscan,0.889,0.314,0.464,19.931
Nails_23,68,Image_4,otm,0.75,0.529,0.621,14.762
Nails_23,68,Image_4,gmms,0.806,0.569,0.667,39.99
Nails_23,68,Image_4,hdbscan,0.875,0.137,0.237,34.815
Nails_23,68,Image_5,otm,0.458,0.458,0.458,29.389
Nails_23,68,Image_5,gmms,0.479,0.479,0.479,38.696
Nails_23,68,Image_5,hdbscan,0.615,0.167,0.262,30.024
Nails_23,68,Image_6,otm,0.735,0.543,0.625,14.249
Nails_23,68,Image_6,gmms,0.882,0.652,0.75,30.01
Nails_23,68,Image_6,hdbscan,1.0,0.174,0.296,26.652
Nails_23,68,Image_7,otm,0.719,0.5,0.59,11.814
Nails_23,68,Image_7,gmms,0.781,0.543,0.641,28.41
Nails_23,68,Image_7,hdbscan,0.714,0.109,0.189,25.491
