object,size,image_name,method,precision,recall,f1_score,computation_time
Pins2,45,Image_2,gmms,0.957,0.917,0.936,30.158
Pins2,45,Image_2,hdbscan,1.0,0.361,0.531,32.234
Pins2,45,Image_3,otm,1.0,0.959,0.979,23.944
Pins2,45,Image_3,gmms,1.0,0.959,0.979,26.282
Pins2,45,Image_3,hdbscan,1.0,0.507,0.673,26.657
Pins2,45,Image_4,otm,1.0,0.899,0.947,27.311
Pins2,45,Image_4,gmms,1.0,0.899,0.947,25.376
Pins2,45,Image_4,hdbscan,1.0,0.13,0.231,27.96
Pins2,45,Image_5,otm,1.0,0.944,0.971,18.357
Pins2,45,Image_5,gmms,0.971,0.917,0.943,29.406
Pins2,45,Image_5,hdbscan,1.0,0.333,0.5,31.508
Pins2,45,Image_6,otm,1.0,0.938,0.968,16.058
Pins2,45,Image_6,gmms,1.0,0.938,0.968,25.434
Pins2,45,Image_6,hdbscan,1.0,0.277,0.434,28.291
Pins2,45,Image_7,otm,1.0,0.937,0.967,21.303
Pins2,45,Image_7,gmms,1.0,0.937,0.967,22.189
Pins2,45,Image_7,hdbscan,1.0,0.222,0.364,24.584
Pins2,45,Image_8,otm,1.0,0.95,0.974,20.122
Pins2,45,Image_8,gmms,1.0,0.95,0.974,21.59
Pins2,45,Image_8,hdbscan,1.0,0.15,0.261,24.514
Pins2,45,Image_9,otm,1.0,0.914,0.955,18.785
Pins2,45,Image_9,gmms,1.0,0.914,0.955,20.196
Pins2,45,Image_9,hdbscan,1.0,0.19,0.319,23.051
Pins2,68,Image_0,otm,1.0,0.844,0.915,5.964
Pins2,68,Image_1,otm,1.0,0.938,0.968,7.29
Pins2,68,Image_10,otm,1.0,0.914,0.955,4.767
Pins2,68,Image_2,otm,1.0,0.897,0.945,7.241
Pins2,68,Image_3,otm,1.0,0.867,0.929,7.1
Pins2,68,Image_4,otm,1.0,0.818,0.9,4.826
Pins2,68,Image_5,otm,1.0,0.842,0.914,9.108
Pins2,68,Image_6,otm,1.0,0.906,0.951,11.006
Pins2,68,Image_7,otm,1.0,0.9,0.947,11.532
Pins2,68,Image_8,otm,1.0,0.862,0.926,8.076
Pins2,68,Image_9,otm,1.0,0.897,0.945,11.194
Small_nails_23,28,Image_0,otm,0.586,0.418,0.488,19.901
Small_nails_23,28,Image_1,otm,0.967,0.937,0.952,42.725
Small_nails_23,28,Image_10,otm,0.725,0.644,0.682,18.847
Small_nails_23,28,Image_2,otm,0.909,0.862,0.885,44.556
Small_nails_23,28,Image_3,otm,0.687,0.626,0.655,35.838
Small_nails_23,28,Image_4,otm,0.816,0.639,0.717,32.386
Small_nails_23,28,Image_5,otm,0.733,0.663,0.696,37.959
Small_nails_23,28,Image_6,otm,0.644,0.609,0.626,39.04
Small_nails_23,28,Image_7,otm,0.728,0.648,0.686,33.959
Small_nails_23,28,Image_8,otm,0.704,0.648,0.675,32.487
Small_nails_23,28,Image_9,otm,0.706,0.674,0.69,44.842
Small_nails_23,384,Image_0,otm,1.0,0.5,0.667,4.453
Small_nails_23,384,Image_1,otm,1.0,0.588,0.741,5.594
Small_nails_23,384,Image_10,otm,0.833,0.5,0.625,3.093
Small_nails_23,384,Image_2,otm,1.0,0.647,0.786,6.196
Small_nails_23,384,Image_3,otm,1.0,0.786,0.88,4.61
Small_nails_23,384,Image_4,otm,1.0,0.9,0.947,9.757
Small_nails_23,384,Image_5,otm,1.0,0.762,0.865,8.536
Small_nails_23,384,Image_6,otm,0.909,0.714,0.8,5.891
Small_nails_23,384,Image_7,otm,0.833,0.5,0.625,3.71
Small_nails_23,384,Image_8,otm,1.0,0.8,0.889,3.052
Small_nails_23,384,Image_9,otm,0.8,0.571,0.667,2.928
Small_nails_23,45,Image_0,otm,0.889,0.842,0.865,9.965
Small_nails_23,45,Image_1,otm,0.81,1.0,0.895,15.517
Small_nails_23,45,Image_10,otm,0.912,1.0,0.954,10.36
Small_nails_23,45,Image_2,otm,0.906,0.935,0.921,6.193
Small_nails_23,45,Image_3,otm,0.853,0.901,0.877,25.532
Small_nails_23,45,Image_4,otm,0.848,0.824,0.836,9.692
Small_nails_23,45,Image_5,otm,0.833,0.968,0.896,10.786
Small_nails_23,45,Image_6,otm,0.686,1.0,0.814,23.44
Small_nails_23,45,Image_7,otm,0.721,0.969,0.827,12.439
Small_nails_23,45,Image_8,otm,0.824,1.0,0.903,8.495
Small_nails_23,45,Image_9,otm,0.75,0.964,0.844,7.496
Small_nails_23,68,Image_0,otm,0.923,0.818,0.867,16.323
Small_nails_23,68,Image_1,otm,0.872,0.85,0.861,19.011
Small_nails_23,68,Image_10,otm,0.733,0.943,0.825,23.363
Small_nails_23,68,Image_2,otm,0.841,0.86,0.851,18.025
Small_nails_23,68,Image_3,otm,0.861,0.939,0.899,12.711
Small_nails_23,68,Image_4,otm,0.821,0.8,0.81,20.036
Small_nails_23,68,Image_5,otm,0.909,0.976,0.941,29.576
Small_nails_23,68,Image_6,otm,0.757,0.848,0.8,17.369
Small_nails_23,68,Image_7,otm,0.816,1.0,0.899,17.994
Small_nails_23,68,Image_8,otm,0.744,1.0,0.853,15.716
Small_nails_23,68,Image_9,otm,0.698,0.938,0.8,17.107
Small_nails_32,28,Image_0,otm,0.72,0.551,0.624,19.232
Small_nails_32,28,Image_1,otm,0.967,0.937,0.952,42.117
Small_nails_32,28,Image_10,otm,0.769,0.667,0.714,33.866
Small_nails_32,28,Image_2,otm,0.951,0.836,0.89,34.488
Small_nails_32,28,Image_3,otm,0.797,0.648,0.715,30.206
Small_nails_32,28,Image_4,otm,0.769,0.619,0.686,21.877
Small_nails_32,28,Image_5,otm,0.867,0.758,0.809,39.608
Small_nails_32,28,Image_6,otm,0.78,0.696,0.736,39.045
Small_nails_32,28,Image_7,otm,0.851,0.692,0.764,27.213
Small_nails_32,28,Image_8,otm,0.762,0.693,0.726,25.142
Small_nails_32,28,Image_9,otm,0.798,0.753,0.775,62.094
Small_nails_32,384,Image_0,otm,1.0,0.591,0.743,5.447
Small_nails_32,384,Image_1,otm,1.0,0.588,0.741,5.983
Small_nails_32,384,Image_10,otm,0.857,0.6,0.706,3.129
Small_nails_32,384,Image_2,otm,1.0,0.647,0.786,4.362
Small_nails_32,384,Image_3,otm,1.0,0.857,0.923,5.102
Small_nails_32,384,Image_4,otm,1.0,0.8,0.889,9.339
Small_nails_32,384,Image_5,otm,0.938,0.714,0.811,9.416
Small_nails_32,384,Image_6,otm,1.0,0.714,0.833,5.165
Small_nails_32,384,Image_7,otm,0.857,0.6,0.706,3.917
Small_nails_32,384,Image_8,otm,1.0,0.8,0.889,2.827
Small_nails_32,384,Image_9,otm,0.8,0.571,0.667,2.812
Small_nails_32,45,Image_0,otm,0.943,0.868,0.904,10.421
Small_nails_32,45,Image_1,otm,0.943,0.971,0.957,9.254
Small_nails_32,45,Image_10,otm,0.838,1.0,0.912,14.955
Small_nails_32,45,Image_2,otm,0.931,0.871,0.9,8.494
Small_nails_32,45,Image_3,otm,0.817,0.817,0.817,21.458
Small_nails_32,45,Image_4,otm,0.825,0.971,0.892,10.234
Small_nails_32,45,Image_5,otm,0.689,1.0,0.816,19.896
Small_nails_32,45,Image_6,otm,0.714,1.0,0.833,26.545
Small_nails_32,45,Image_7,otm,0.744,1.0,0.853,16.935
Small_nails_32,45,Image_8,otm,0.718,1.0,0.836,15.015
Small_nails_32,45,Image_9,otm,0.844,0.964,0.9,10.62
Small_nails_32,68,Image_0,otm,0.907,0.886,0.897,28.415
Small_nails_32,68,Image_1,otm,0.946,0.875,0.909,19.881
Small_nails_32,68,Image_10,otm,0.85,0.971,0.907,21.521
Small_nails_32,68,Image_2,otm,0.902,0.86,0.881,12.981
Small_nails_32,68,Image_3,otm,0.903,0.848,0.875,24.818
Small_nails_32,68,Image_4,otm,0.886,0.975,0.929,19.303
Small_nails_32,68,Image_5,otm,0.78,0.951,0.857,38.64
Small_nails_32,68,Image_6,otm,0.824,0.848,0.836,13.249
Small_nails_32,68,Image_7,otm,0.912,1.0,0.954,14.167
Small_nails_32,68,Image_8,otm,0.875,0.966,0.918,11.174
Small_nails_32,68,Image_9,otm,0.682,0.938,0.789,14.296
