object,size,image_name,method,patch_size,kernel_dim,precision,recall,f1_score,computation_time
Nails_32,384,Image_9,otm,32,3,0.56,0.609,0.583,15.925
Nails_32,45,Image_0_30,otm,32,3,0.848,0.412,0.554,12.718
Nails_32,45,Image_1,otm,32,3,0.514,0.887,0.651,31.452
Nails_32,45,Image_10,otm,32,3,0.556,0.244,0.339,18.765
Nails_32,45,Image_2,otm,32,3,0.615,0.353,0.449,23.761
Nails_32,45,Image_3,otm,32,3,1.0,0.4,0.571,21.963
Nails_32,45,Image_4,otm,32,3,0.611,0.306,0.407,17.77
Nails_32,45,Image_5,otm,32,3,0.583,0.194,0.292,17.876
Nails_32,45,Image_6,otm,32,3,0.625,0.27,0.377,12.296
Nails_32,45,Image_7,otm,32,3,0.706,0.353,0.471,16.896
Nails_32,45,Image_8,otm,32,3,0.467,0.309,0.372,26.571
Nails_32,45,Image_9,otm,32,3,0.72,0.486,0.581,27.777
Nails_32,68,Image_0_30,otm,32,3,0.923,0.471,0.623,17.953
Nails_32,68,Image_1,otm,32,3,0.709,0.75,0.729,26.38
Nails_32,68,Image_10,otm,32,3,0.621,0.346,0.444,24.813
Nails_32,68,Image_2,otm,32,3,0.96,0.471,0.632,19.285
Nails_32,68,Image_3,otm,32,3,1.0,0.471,0.64,15.535
Nails_32,68,Image_4,otm,32,3,0.63,0.333,0.436,20.319
Nails_32,68,Image_5,otm,32,3,0.579,0.229,0.328,12.702
Nails_32,68,Image_6,otm,32,3,0.769,0.435,0.556,14.137
Nails_32,68,Image_7,otm,32,3,0.321,0.196,0.243,21.152
Nails_32,68,Image_8,otm,32,3,0.714,0.435,0.541,22.276
Nails_32,68,Image_9,otm,32,3,0.812,0.531,0.642,14.98
Nuts,28,Image_0_50,otm,32,3,0.952,0.941,0.947,20.266
Nuts,28,Image_1,otm,32,3,0.943,0.943,0.943,21.525
Nuts,28,Image_10,otm,32,3,0.988,0.965,0.976,18.935
Nuts,28,Image_2,otm,32,3,0.933,0.933,0.933,22.707
Nuts,28,Image_3,otm,32,3,0.91,0.9,0.905,23.503
Nuts,28,Image_4,otm,32,3,0.944,0.955,0.95,22.899
Nuts,28,Image_5,otm,32,3,0.963,0.929,0.945,12.351
Nuts,28,Image_6,otm,32,3,0.988,0.965,0.976,19.452
Nuts,28,Image_7,otm,32,3,0.952,0.908,0.929,14.835
Nuts,28,Image_8,otm,32,3,0.934,0.914,0.924,25.595
Nuts,28,Image_9,otm,32,3,0.924,0.944,0.934,23.162
Nuts,384,Image_0_50,otm,32,3,1.0,0.917,0.957,2.588
Nuts,384,Image_1,otm,32,3,1.0,0.857,0.923,2.709
Nuts,384,Image_10,otm,32,3,1.0,0.7,0.824,2.653
Nuts,384,Image_2,otm,32,3,1.0,0.75,0.857,1.403
Nuts,384,Image_3,otm,32,3,1.0,0.867,0.929,2.635
Nuts,384,Image_4,otm,32,3,1.0,0.818,0.9,2.22
Nuts,384,Image_5,otm,32,3,1.0,0.692,0.818,2.033
Nuts,384,Image_6,otm,32,3,1.0,0.667,0.8,1.965
Nuts,384,Image_7,otm,32,3,1.0,0.429,0.6,1.814
Nuts,384,Image_8,otm,32,3,1.0,0.688,0.815,2.281
Nuts,384,Image_9,otm,32,3,0.5,0.143,0.222,1.303
Nuts,45,Image_0_50,otm,32,3,1.0,0.826,0.905,11.427
Nuts,45,Image_1,otm,32,3,1.0,0.756,0.861,11.581
Nuts,45,Image_10,otm,32,3,1.0,0.789,0.882,8.179
Nuts,45,Image_2,otm,32,3,1.0,0.829,0.907,7.728
Nuts,45,Image_3,otm,32,3,1.0,0.806,0.892,11.005
Nuts,45,Image_4,otm,32,3,1.0,0.818,0.9,7.72
Nuts,45,Image_5,otm,32,3,1.0,0.853,0.921,7.388
Nuts,45,Image_6,otm,32,3,1.0,0.833,0.909,11.706
Nuts,45,Image_7,otm,32,3,1.0,0.679,0.809,3.104
Nuts,45,Image_8,otm,32,3,1.0,0.833,0.909,8.024
Nuts,45,Image_9,otm,32,3,1.0,0.711,0.831,10.173
Pins2,28,Image_0,otm,32,3,0.969,0.946,0.958,64.189
Pins2,28,Image_1,otm,32,3,0.987,0.937,0.961,69.12
Pins2,28,Image_10,otm,32,3,1.0,0.892,0.943,66.957
Pins2,28,Image_2,otm,32,3,0.967,0.942,0.954,67.999
Pins2,28,Image_3,otm,32,3,0.961,0.925,0.942,68.021
Pins2,28,Image_4,otm,32,3,0.953,0.934,0.944,61.661
Pins2,28,Image_5,otm,32,3,0.987,0.938,0.962,68.684
Pins2,28,Image_6,otm,32,3,1.0,0.949,0.974,48.324
Pins2,28,Image_7,otm,32,3,0.987,0.926,0.955,65.543
Pins2,28,Image_8,otm,32,3,0.987,0.925,0.955,43.788
Pins2,28,Image_9,otm,32,3,0.979,0.893,0.934,57.955
Pins2,384,Image_0,otm,32,3,1.0,0.625,0.769,3.257
Pins2,384,Image_1,otm,32,3,1.0,0.556,0.714,1.454
Pins2,384,Image_10,otm,32,3,1.0,0.636,0.778,1.669
Pins2,384,Image_2,otm,32,3,1.0,0.667,0.8,1.934
Pins2,384,Image_3,otm,32,3,1.0,0.778,0.875,2.52
Pins2,384,Image_4,otm,32,3,1.0,0.5,0.667,1.188
Pins2,384,Image_5,otm,32,3,1.0,0.714,0.833,1.82
Pins2,384,Image_6,otm,32,3,1.0,0.8,0.889,1.665
Pins2,384,Image_7,otm,32,3,1.0,0.875,0.933,1.842
Pins2,384,Image_8,otm,32,3,0.0,0.0,0.0,1.159
Pins2,384,Image_9,otm,32,3,1.0,0.4,0.571,1.282
Pins2,45,Image_0,otm,32,3,0.978,0.746,0.846,11.439
Pins2,45,Image_1,otm,32,3,1.0,0.817,0.899,21.025
Pins2,45,Image_10,otm,32,3,1.0,0.778,0.875,7.086
Pins2,45,Image_2,otm,32,3,1.0,0.833,0.909,23.162
Pins2,45,Image_3,otm,32,3,1.0,0.849,0.919,23.274
Pins2,45,Image_4,otm,32,3,1.0,0.783,0.878,16.656
Pins2,45,Image_5,otm,32,3,1.0,0.806,0.892,21.401
Pins2,45,Image_6,otm,32,3,1.0,0.754,0.86,14.974
Pins2,45,Image_7,otm,32,3,1.0,0.825,0.904,14.832
Pins2,45,Image_8,otm,32,3,1.0,0.8,0.889,12.968
Pins2,45,Image_9,otm,32,3,1.0,0.793,0.885,9.682
Pins2,68,Image_0,otm,32,3,1.0,0.75,0.857,9.511
Pins2,68,Image_1,otm,32,3,1.0,0.781,0.877,4.515
Pins2,68,Image_10,otm,32,3,1.0,0.829,0.906,11.71
Pins2,68,Image_2,otm,32,3,1.0,0.724,0.84,6.319
Pins2,68,Image_3,otm,32,3,1.0,0.733,0.846,7.302
Pins2,68,Image_4,otm,32,3,1.0,0.727,0.842,4.073
