object,size,image_name,method,patch_size,kernel_dim,precision,recall,f1_score,computation_time
Nails_23,28,Image_0_30,otm,32,3,0.73,0.309,0.434,113.564
Nails_23,28,Image_1,otm,32,3,0.588,0.285,0.384,37.087
Nails_23,28,Image_10,otm,32,3,0.71,0.282,0.403,69.861
Nails_23,28,Image_2,otm,32,3,0.748,0.424,0.541,158.866
Nails_23,28,Image_3,otm,32,3,0.867,0.286,0.43,45.287
Nails_23,28,Image_4,otm,32,3,0.603,0.27,0.373,81.593
Nails_23,28,Image_5,otm,32,3,0.655,0.211,0.319,47.301
Nails_23,28,Image_6,otm,32,3,0.833,0.302,0.444,60.902
Nails_23,28,Image_7,otm,32,3,0.742,0.386,0.508,97.293
Nails_23,28,Image_8,otm,32,3,0.745,0.244,0.368,53.983
Nails_23,28,Image_9,otm,32,3,0.831,0.297,0.438,52.13
Nails_23,384,Image_0_30,otm,32,3,0.87,0.952,0.909,14.477
Nails_23,384,Image_1,otm,32,3,0.667,0.545,0.6,7.794
Nails_23,384,Image_10,otm,32,3,0.588,0.8,0.678,15.862
Nails_23,384,Image_2,otm,32,3,0.522,0.571,0.545,13.737
Nails_23,384,Image_3,otm,32,3,0.517,0.714,0.6,18.287
Nails_23,384,Image_4,otm,32,3,0.643,0.818,0.72,17.788
Nails_23,384,Image_5,otm,32,3,0.373,0.957,0.537,38.284
Nails_23,384,Image_6,otm,32,3,0.438,0.913,0.592,23.483
Nails_23,384,Image_7,otm,32,3,0.421,0.762,0.542,17.309
Nails_23,384,Image_8,otm,32,3,0.63,0.773,0.694,16.121
Nails_23,384,Image_9,otm,32,3,0.553,0.913,0.689,18.297
Nails_23,45,Image_0_30,otm,32,3,0.5,0.147,0.227,10.323
Nails_23,45,Image_1,otm,32,3,0.5,0.145,0.225,6.768
Nails_23,45,Image_10,otm,32,3,0.609,0.171,0.267,15.38
Nails_23,45,Image_2,otm,32,3,0.909,0.294,0.444,15.286
Nails_23,45,Image_3,otm,32,3,0.792,0.271,0.404,8.731
Nails_23,45,Image_4,otm,32,3,0.88,0.306,0.454,18.139
Nails_23,45,Image_5,otm,32,3,0.6,0.167,0.261,12.742
Nails_23,45,Image_6,otm,32,3,0.864,0.257,0.396,13.712
Nails_23,45,Image_7,otm,32,3,0.958,0.338,0.5,13.889
Nails_23,45,Image_8,otm,32,3,0.737,0.206,0.322,8.726
Nails_23,45,Image_9,otm,32,3,0.852,0.311,0.455,20.678
Nails_23,68,Image_0_30,otm,32,3,0.667,0.196,0.303,8.616
Nails_23,68,Image_1,otm,32,3,0.769,0.192,0.308,6.855
Nails_23,68,Image_10,otm,32,3,0.7,0.269,0.389,12.442
Nails_23,68,Image_2,otm,32,3,1.0,0.294,0.455,8.873
Nails_23,68,Image_3,otm,32,3,0.85,0.333,0.479,13.073
Nails_23,68,Image_4,otm,32,3,0.947,0.353,0.514,12.077
Nails_23,68,Image_5,otm,32,3,0.588,0.208,0.308,9.002
Nails_23,68,Image_6,otm,32,3,0.727,0.348,0.471,12.588
Nails_23,68,Image_7,otm,32,3,0.789,0.326,0.462,11.261
Nails_23,68,Image_8,otm,32,3,0.75,0.261,0.387,7.308
Nails_23,68,Image_9,otm,32,3,0.652,0.306,0.417,16.528
Nails_32,28,Image_0_30,otm,32,3,0.768,0.448,0.566,136.221
Nails_32,28,Image_1,otm,32,3,0.584,0.673,0.625,134.471
Nails_32,28,Image_10,otm,32,3,0.828,0.305,0.445,38.409
Nails_32,28,Image_2,otm,32,3,0.816,0.417,0.552,143.459
Nails_32,28,Image_3,otm,32,3,1.0,0.269,0.424,29.155
Nails_32,28,Image_4,otm,32,3,0.825,0.299,0.439,63.772
